Individual,Sex,Weight,Length,Start date,End date,Days,Observations
pv35b-04-11,M,85,162,25-Aug-17,27-Aug-17,2,27
pv35b-05-11,F,62,137,25-Aug-17,31-Dec-17,128,1539
pv35b-06-11,M,75,149,25-Aug-17,16-Sep-17,22,270
pv35b-08-11,M,75,149,29-Aug-17,04-Sep-17,6,45
pv35b-09-11,M,90,150,25-Aug-17,26-Aug-17,1,18
pv35b-10-11,F,34,115,28-Aug-17,20-Sep-17,23,54
