Individual,Sex,Weight,Length,Start date,End date,Days,Observations
gp10-641-07,F,23,86,30-Aug-07,01-Apr-07,215,2064
gp10-655-07,F,22,92,30-Aug-07,03-Dec-07,95,876
gp10-683-07,F,22,90,30-Aug-07,13-Mar-08,196,2352
gp10-684-07,F,32,108,30-Aug-07,26-Mar-08,209,2472
gp10-685-07,F,20,90,31-Aug-07,17-Feb-08,170,1884
