"REF","S.DATE","CEN.DATE","E.DATE","Month","fMonth","decimal_day","HAUL.TM","binary_HAUL.TM","beta_HAUL.TM","SURF.TM","DIVE.TM","Waterlevel","Tide_cat","Tide_cat_abbr","Air_Temperature","Windspeed","Precipitation","solar_elevation","Night_Day","Sunrise","Sunset","Dawn","Dusk","Light_cat","moon_phase","Moon_cat","Sex","Weight_kg","Length_cm","Location"
"pv35b-04-11",2017-08-25 06:00:00,2017-08-25 07:00:00,2017-08-25 08:00:00,8,"8",237,99.9,1,0.999,0.1,0,64.4,"(64,80]","HAT",13.6666666666667,2.36666666666667,0,21.4219365366338,"1_Day",2017-08-25 04:04:43,2017-08-25 18:42:21,2017-08-25 02:19:59,2017-08-25 20:26:27,"Day",0.655676860927336,NA,"M",85,162,"Jomfruland_2017"
"pv35b-04-11",2017-08-25 08:00:00,2017-08-25 09:00:00,2017-08-25 10:00:00,8,"8",237,100,1,1,0,0,53.9,"(50,56]","MSL",14.9,2.36666666666667,0,34.7228516962332,"1_Day",2017-08-25 04:04:43,2017-08-25 18:42:21,2017-08-25 02:19:59,2017-08-25 20:26:27,"Day",0.655656135531622,NA,"M",85,162,"Jomfruland_2017"
"pv35b-04-11",2017-08-25 10:00:00,2017-08-25 11:00:00,2017-08-25 12:00:00,8,"8",237,58,0,0.58,38,4,48.5,"(42,50]","MLWN",16.7,1.6,0,41.6022069939071,"1_Day",2017-08-25 04:04:43,2017-08-25 18:42:21,2017-08-25 02:19:59,2017-08-25 20:26:27,"Day",0.655697811969519,NA,"M",85,162,"Jomfruland_2017"
"pv35b-04-11",2017-08-25 12:00:00,2017-08-25 13:00:00,2017-08-25 14:00:00,8,"8",237,100,1,1,0,0,58.3,"(58,59]","NN1954",17.1333333333333,1.9,0,38.5154171679019,"1_Day",2017-08-25 04:04:43,2017-08-25 18:42:21,2017-08-25 02:19:59,2017-08-25 20:26:27,"Day",0.655664668246965,NA,"M",85,162,"Jomfruland_2017"
"pv35b-04-11",2017-08-25 14:00:00,2017-08-25 15:00:00,2017-08-25 16:00:00,8,"8",237,22.2,0,0.222,67.2,10.6,63.8,"(61,64]","MHWS",17.2,3.46666666666667,0,27.1857101778364,"1_Day",2017-08-25 04:04:43,2017-08-25 18:42:21,2017-08-25 02:19:59,2017-08-25 20:26:27,"Day",0.655659100698924,NA,"M",85,162,"Jomfruland_2017"
"pv35b-04-11",2017-08-25 16:00:00,2017-08-25 17:00:00,2017-08-25 18:00:00,8,"8",237,0,0,0,89.6,10.4,68.9,"(64,80]","HAT",17.0333333333333,4.9,0,12.1909680099721,"1_Day",2017-08-25 04:04:43,2017-08-25 18:42:21,2017-08-25 02:19:59,2017-08-25 20:26:27,"Day",0.655697774391454,NA,"M",85,162,"Jomfruland_2017"
"pv35b-04-11",2017-08-25 18:00:00,2017-08-25 19:00:00,2017-08-25 20:00:00,8,"8",237,0,0,0,68.2,31.8,62,"(61,64]","MHWS",16.8666666666667,4.43333333333333,0,-2.81121808173825,"2_Night",2017-08-25 04:04:43,2017-08-25 18:42:21,2017-08-25 02:19:59,2017-08-25 20:26:27,"Dusk",0.655685563820121,NA,"M",85,162,"Jomfruland_2017"
"pv35b-04-11",2017-08-25 20:00:00,2017-08-25 21:00:00,2017-08-25 22:00:00,8,"8",237,81.5,1,0.815,15.6,2.9,53.7,"(50,56]","MSL",15.9666666666667,3.63333333333333,0,-14.8456168423321,"2_Night",2017-08-25 04:04:43,2017-08-25 18:42:21,2017-08-25 02:19:59,2017-08-25 20:26:27,"Night",0.65571076933438,NA,"M",85,162,"Jomfruland_2017"
"pv35b-04-11",2017-08-25 22:00:00,2017-08-25 23:00:00,2017-08-26 00:00:00,8,"8",237,84.1,1,0.841,11.8,4.1,46,"(42,50]","MLWN",14.8,1.33333333333333,0,-20.5807188797437,"2_Night",2017-08-25 04:04:43,2017-08-25 18:42:21,2017-08-25 02:19:59,2017-08-25 20:26:27,"Night",0.655690619833338,NA,"M",85,162,"Jomfruland_2017"
"pv35b-04-11",2017-08-26 00:00:00,2017-08-26 01:00:00,2017-08-26 02:00:00,8,"8",238,100,1,1,0,0,47.2,"(42,50]","MLWN",13.2,1.16666666666667,0,-18.1123859601148,"2_Night",2017-08-26 04:06:58,2017-08-26 18:39:33,2017-08-26 02:23:15,2017-08-26 20:22:40,"Night",0.563757514309139,NA,"M",85,162,"Jomfruland_2017"
