"REF","S.DATE","E.DATE","lat","lon"
"pv35-01-11","02/09/2012 17:34","02/09/2012 18:15",70.15226746,25.1513195
"pv35-01-11","02/09/2012 19:08","03/09/2012 00:41",70.14821625,25.15446568
"pv35-01-11","03/09/2012 04:44","03/09/2012 05:55",70.14820862,25.1545105
"pv35-01-11","03/09/2012 06:43","03/09/2012 09:23",70.15229034,25.15126038
"pv35-01-11","03/09/2012 17:40","04/09/2012 01:31",70.15218099,25.15089989
"pv35-01-11","04/09/2012 05:44","04/09/2012 10:35",70.14362629,25.15638909
"pv35-01-11","04/09/2012 21:05","05/09/2012 01:18",70.15228271,25.15121078
"pv35-01-11","05/09/2012 08:39","05/09/2012 12:34",70.15542348,25.15376282
"pv35-01-11","05/09/2012 13:20","05/09/2012 14:28",70.15216064,25.15172005
"pv35-01-11","05/09/2012 20:11","06/09/2012 03:14",70.15202332,25.15147336
"pv35-01-11","06/09/2012 10:04","06/09/2012 14:23",70.15232086,25.1517601
"pv35-01-11","06/09/2012 14:23","06/09/2012 15:19",70.15200043,25.1520195
"pv35-01-11","06/09/2012 20:46","07/09/2012 02:31",70.15560913,25.15389919
"pv35-01-11","07/09/2012 12:27","07/09/2012 15:37",70.15235519,25.15190029
"pv35-01-11","07/09/2012 23:58","08/09/2012 03:05",70.15219879,25.15180969
"pv35-01-11","08/09/2012 09:13","08/09/2012 11:53",70.15237045,25.15160465
"pv35-01-11","08/09/2012 21:25","08/09/2012 23:02",70.14835358,25.15416908
"pv35-01-11","09/09/2012 01:17","09/09/2012 02:05",70.15219116,25.15103912
"pv35-01-11","09/09/2012 10:12","09/09/2012 13:43",70.15208435,25.1515007
"pv35-01-11","09/09/2012 18:45","09/09/2012 19:44",70.15213013,25.15149498
"pv35-01-11","10/09/2012 00:43","10/09/2012 06:40",70.15211995,25.15131632
"pv35-01-11","11/09/2012 02:28","11/09/2012 07:55",70.15232468,25.15138435
"pv35-01-11","11/09/2012 13:42","11/09/2012 14:45",70.15222168,25.15147018
"pv35-01-11","12/09/2012 04:06","12/09/2012 08:37",70.15207163,25.15211678
"pv35-01-11","12/09/2012 18:30","12/09/2012 19:00",70.1522522,25.15180016
"pv35-01-11","12/09/2012 19:00","12/09/2012 19:59",70.15229416,25.15156555
"pv35-01-11","13/09/2012 02:31","13/09/2012 10:34",70.151968,25.1514926
