"REF","S.DATE","E.DATE","lat","lon"
"pv68-F53_Iris-14","17/11/2019 12:45","17/11/2019 22:29",59.17156458,10.59049539
"pv68-F53_Iris-14","20/11/2019 08:07","20/11/2019 09:21",59.17162323,10.59066534
"pv68-F53_Iris-14","23/11/2019 19:21","23/11/2019 21:47",59.19203758,10.58345771
"pv68-F53_Iris-14","24/11/2019 17:29","25/11/2019 00:27",59.19245638,10.58228779
"pv68-F53_Iris-14","25/11/2019 20:36","25/11/2019 23:38",59.19249058,10.58247364
"pv68-F53_Iris-14","29/11/2019 17:27","30/11/2019 07:16",59.19289465,10.58269947
"pv68-F53_Iris-14","02/12/2019 16:07","03/12/2019 02:27",59.17240788,10.5902261
"pv68-F53_Iris-14","09/12/2019 22:30","10/12/2019 00:18",59.19291401,10.5823853
"pv68-F53_Iris-14","10/12/2019 04:41","10/12/2019 07:14",59.19308615,10.58280003
"pv68-F53_Iris-14","10/12/2019 08:08","10/12/2019 08:33",59.19646454,10.56862497
"pv68-F53_Iris-14","13/12/2019 19:44","14/12/2019 00:05",59.19244671,10.58336322
"pv68-F53_Iris-14","15/12/2019 06:15","15/12/2019 10:28",59.1925219,10.58354165
"pv68-F53_Iris-14","18/12/2019 10:15","18/12/2019 21:14",59.17149979,10.59086643
"pv68-F53_Iris-14","21/12/2019 18:59","21/12/2019 21:40",59.17151896,10.59079329
"pv68-F53_Iris-14","25/12/2019 08:06","26/12/2019 08:06",59.17157621,10.5908093
"pv68-F53_Iris-14","26/12/2019 08:06","26/12/2019 09:55",59.1715037,10.59066995
"pv68-F53_Iris-14","27/12/2019 23:43","28/12/2019 05:26",59.1723423,10.59023124
"pv68-F53_Iris-14","05/01/2020 00:35","05/01/2020 07:30",59.17162396,10.59012136
"pv68-F53_Iris-14","10/01/2020 14:59","11/01/2020 03:09",59.17149297,10.59099155
"pv68-F53_Iris-14","16/01/2020 23:58","17/01/2020 02:34",59.100173,10.47164631
"pv68-F53_Iris-14","17/01/2020 15:42","17/01/2020 16:15",59.15929985,10.49765015
"pv68-F53_Iris-14","18/01/2020 23:52","19/01/2020 04:13",59.15921298,10.49712545
"pv68-F53_Iris-14","19/01/2020 07:02","19/01/2020 10:02",59.15931266,10.49754456
"pv68-F53_Iris-14","19/01/2020 17:00","19/01/2020 22:52",59.15930323,10.49775989
"pv68-F53_Iris-14","25/01/2020 17:25","26/01/2020 17:25",59.15923572,10.49689724
"pv68-F53_Iris-14","26/01/2020 17:25","26/01/2020 21:12",59.15928159,10.49703135
"pv68-F53_Iris-14","28/01/2020 02:42","28/01/2020 08:06",59.1592265,10.49702558
"pv68-F53_Iris-14","29/01/2020 17:31","29/01/2020 19:52",59.1592013,10.49687799
"pv68-F53_Iris-14","29/01/2020 20:11","30/01/2020 02:59",59.15936252,10.49748707
"pv68-F53_Iris-14","02/02/2020 17:37","03/02/2020 05:43",59.15923203,10.49707691
"pv68-F53_Iris-14","03/02/2020 06:02","03/02/2020 08:48",59.15937281,10.4972074
"pv68-F53_Iris-14","06/02/2020 18:46","06/02/2020 22:25",59.15938234,10.49768257
"pv68-F53_Iris-14","11/02/2020 09:39","11/02/2020 10:20",59.15910975,10.49695969
"pv68-F53_Iris-14","13/02/2020 00:55","13/02/2020 10:36",59.15917937,10.49681207
"pv68-F53_Iris-14","13/02/2020 16:47","14/02/2020 03:21",59.1588166,10.49770641
"pv68-F53_Iris-14","14/02/2020 11:27","14/02/2020 18:32",59.17153584,10.59075278
"pv68-F53_Iris-14","18/02/2020 19:29","19/02/2020 05:44",59.15925535,10.49665825
"pv68-F53_Iris-14","19/02/2020 20:19","20/02/2020 01:29",59.15929818,10.4977175
"pv68-F53_Iris-14","23/02/2020 23:48","24/02/2020 09:58",59.15916134,10.49674379
"pv68-F53_Iris-14","27/02/2020 08:36","27/02/2020 08:48",59.17156982,10.59084034
"pv68-F53_Iris-14","27/02/2020 08:56","28/02/2020 04:20",59.17159705,10.59052814
"pv68-F53_Iris-14","03/03/2020 00:14","03/03/2020 13:21",59.15921813,10.49760929
"pv68-F53_Iris-14","04/03/2020 21:09","05/03/2020 11:31",59.17152988,10.59096249
"pv68-F53_Iris-14","07/03/2020 10:27","07/03/2020 12:02",59.18353958,10.57637997
"pv68-F53_Iris-14","09/03/2020 07:21","10/03/2020 00:11",59.15930083,10.49707245
