"REF","S.DATE","E.DATE","lat","lon"
"pv35b-05-11","25/10/2017 16:40","25/10/2017 21:11",58.93760872,9.632274628
"pv35b-05-11","25/10/2017 23:55","26/10/2017 06:10",58.93753306,9.631623586
"pv35b-05-11","26/10/2017 15:27","26/10/2017 18:13",58.93761444,9.631669998
"pv35b-05-11","26/10/2017 18:37","26/10/2017 19:30",58.93833923,9.632610321
"pv35b-05-11","26/10/2017 23:30","27/10/2017 07:03",58.93679047,9.631073316
"pv35b-05-11","27/10/2017 16:20","27/10/2017 18:09",58.93743896,9.631440163
"pv35b-05-11","28/10/2017 15:53","28/10/2017 21:50",58.93751017,9.631743749
"pv35b-05-11","29/10/2017 16:26","30/10/2017 04:44",58.9374876,9.631682634
"pv35b-05-11","30/10/2017 17:46","31/10/2017 01:19",58.96756999,9.670346578
"pv35b-05-11","31/10/2017 20:22","01/11/2017 00:47",58.93805885,9.632925034
"pv35b-05-11","01/11/2017 23:58","02/11/2017 01:35",58.89567947,9.558659554
"pv35b-05-11","02/11/2017 18:21","03/11/2017 05:51",58.93816223,9.632234192
"pv35b-05-11","03/11/2017 19:20","03/11/2017 19:41",58.93817902,9.632479668
"pv35b-05-11","04/11/2017 16:53","04/11/2017 19:36",58.9381485,9.632369995
"pv35b-05-11","05/11/2017 19:14","06/11/2017 05:05",58.93813992,9.63250494
"pv35b-05-11","06/11/2017 16:41","07/11/2017 00:44",58.9381876,9.632382393
"pv35b-05-11","07/11/2017 16:59","08/11/2017 02:56",58.93820477,9.632385015
"pv35b-05-11","08/11/2017 18:38","08/11/2017 18:58",58.9382782,9.632300377
"pv35b-05-11","08/11/2017 21:20","08/11/2017 22:14",58.93824005,9.632439613
"pv35b-05-11","09/11/2017 16:49","09/11/2017 17:48",58.9382782,9.632439613
"pv35b-05-11","09/11/2017 18:09","09/11/2017 19:02",58.93745041,9.63158989
"pv35b-05-11","09/11/2017 21:46","10/11/2017 04:13",58.93751653,9.63171641
"pv35b-05-11","10/11/2017 17:42","10/11/2017 19:15",58.93803024,9.632760048
"pv35b-05-11","10/11/2017 20:08","10/11/2017 20:28",58.9382782,9.632340431
"pv35b-05-11","10/11/2017 22:41","11/11/2017 02:57",58.93751144,9.631580353
"pv35b-05-11","11/11/2017 21:58","11/11/2017 22:45",58.93745041,9.631329536
"pv35b-05-11","12/11/2017 15:50","12/11/2017 23:29",58.93807983,9.632676442
"pv35b-05-11","13/11/2017 19:34","14/11/2017 01:01",58.9380099,9.632973353
"pv35b-05-11","14/11/2017 17:47","14/11/2017 18:23",58.96760941,9.670319557
"pv35b-05-11","14/11/2017 19:34","14/11/2017 19:58",58.9381218,9.632740021
"pv35b-05-11","14/11/2017 20:41","14/11/2017 23:06",58.93793106,9.632749557
"pv35b-05-11","15/11/2017 19:11","16/11/2017 00:50",58.93800545,9.632949829
"pv35b-05-11","16/11/2017 21:25","16/11/2017 22:31",58.93795013,9.632699966
"pv35b-05-11","17/11/2017 17:01","17/11/2017 23:52",58.93758138,9.631750107
"pv35b-05-11","19/11/2017 16:43","20/11/2017 01:28",58.93754005,9.63161993
"pv35b-05-11","22/11/2017 21:13","22/11/2017 22:53",58.93748093,9.631830215
"pv35b-05-11","24/11/2017 18:00","24/11/2017 19:40",58.9375,9.631349564
"pv35b-05-11","24/11/2017 20:10","24/11/2017 21:59",58.94768906,9.639229774
"pv35b-05-11","24/11/2017 22:22","25/11/2017 06:07",58.93754673,9.631625175
"pv35b-05-11","25/11/2017 17:00","25/11/2017 19:58",58.88985825,9.578809738
"pv35b-05-11","26/11/2017 16:29","26/11/2017 19:57",58.88986397,9.578979969
"pv35b-05-11","28/11/2017 16:28","29/11/2017 05:10",58.96754519,9.670558294
"pv35b-05-11","30/11/2017 14:22","01/12/2017 04:16",58.9675916,9.670461655
